fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2
0	0	32.12	-64	-9	0	0	0.00	-166311976	32767	0.00	
1	0	32.10	-65	-10	0	0	0.00	-166311976	32767	0.00	
2	0	32.03	-67	-10	0	0	0.00	-166311976	32767	0.00	
3	0	32.02	-68	-11	0	0	0.00	-166311976	32767	0.00	
4	0	31.98	-69	-11	0	0	0.00	-166311976	32767	0.00	
5	0	31.96	-69	-10	0	0	0.00	-166311976	32767	0.00	
6	0	31.94	-69	-9	0	0	0.00	-166311976	32767	0.00	
7	0	31.92	-69	-8	0	0	0.00	-166311976	32767	0.00	
8	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
9	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
10	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
11	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
12	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
13	0	31.94	-69	-9	0	0	0.00	-166311976	32767	0.00	
14	0	31.94	-69	-9	0	0	0.00	-166311976	32767	0.00	
15	0	31.94	-69	-9	0	0	0.00	-166311976	32767	0.00	
16	0	31.91	-70	-9	0	0	0.00	-166311976	32767	0.00	
17	0	31.91	-70	-9	0	0	0.00	-166311976	32767	0.00	
18	0	31.87	-71	-9	0	0	0.00	-166311976	32767	0.00	
19	0	31.87	-71	-9	0	0	0.00	-166311976	32767	0.00	
20	0	31.87	-71	-9	0	0	0.00	-166311976	32767	0.00	
21	0	31.82	-72	-8	0	0	0.00	-166311976	32767	0.00	
22	0	31.79	-72	-7	0	0	0.00	-166311976	32767	0.00	
23	0	31.77	-72	-6	0	0	0.00	-166311976	32767	0.00	
24	0	31.71	-73	-5	0	0	0.00	-166311976	32767	0.00	
25	0	31.64	-74	-3	0	0	0.00	-166311976	32767	0.00	
26	0	31.56	-75	-1	0	0	0.00	-166311976	32767	0.00	
27	0	31.51	-76	0	0	0	0.00	-166311976	32767	0.00	
28	0	31.46	-77	1	0	0	0.00	-166311976	32767	0.00	
29	0	31.40	-78	3	0	0	0.00	-166311976	32767	0.00	
30	0	31.34	-79	4	0	0	0.00	-166311976	32767	0.00	
31	0	31.26	-80	7	0	0	0.00	-166311976	32767	0.00	
32	1	31.42	-80	9	0	0	0.00	-166311976	32767	0.00	
33	1	31.40	-80	11	0	0	0.00	-166311976	32767	0.00	
34	1	31.36	-81	12	0	0	0.00	-166311976	32767	0.00	
35	1	31.35	-81	13	0	0	0.00	-166311976	32767	0.00	
36	1	31.33	-81	14	0	0	0.00	-166311976	32767	0.00	
37	1	31.29	-82	15	0	0	0.00	-166311976	32767	0.00	
38	1	31.29	-82	15	0	0	0.00	-166311976	32767	0.00	
39	1	31.27	-82	16	0	0	0.00	-166311976	32767	0.00	
40	1	31.27	-82	16	0	0	0.00	-166311976	32767	0.00	
