fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2
0	0	32.12	-64	-9	0	0	0.00	-166311976	32767	0.00	
1	0	32.10	-65	-10	0	0	0.00	-166311976	32767	0.00	
2	0	32.03	-67	-10	0	0	0.00	-166311976	32767	0.00	
3	0	32.02	-68	-11	0	0	0.00	-166311976	32767	0.00	
4	0	31.98	-69	-11	0	0	0.00	-166311976	32767	0.00	
5	0	31.96	-69	-10	0	0	0.00	-166311976	32767	0.00	
6	0	31.94	-69	-9	0	0	0.00	-166311976	32767	0.00	
7	0	31.92	-69	-8	0	0	0.00	-166311976	32767	0.00	
8	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
9	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
10	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
11	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
12	0	31.95	-68	-8	0	0	0.00	-166311976	32767	0.00	
13	0	31.94	-69	-9	0	0	0.00	-166311976	32767	0.00	
14	0	31.94	-69	-9	0	0	0.00	-166311976	32767	0.00	
15	0	31.94	-69	-9	0	0	0.00	-166311976	32767	0.00	
16	0	31.91	-70	-9	0	0	0.00	-166311976	32767	0.00	
17	0	31.91	-70	-9	0	0	0.00	-166311976	32767	0.00	
18	0	31.87	-71	-9	0	0	0.00	-166311976	32767	0.00	
19	0	31.87	-71	-9	0	0	0.00	-166311976	32767	0.00	
20	0	31.87	-71	-9	0	0	0.00	-166311976	32767	0.00	
21	0	31.82	-72	-8	0	0	0.00	-166311976	32767	0.00	
22	0	31.79	-72	-7	0	0	0.00	-166311976	32767	0.00	
23	0	31.77	-72	-6	0	0	0.00	-166311976	32767	0.00	
24	0	31.71	-73	-5	0	0	0.00	-166311976	32767	0.00	
25	0	31.64	-74	-3	0	0	0.00	-166311976	32767	0.00	
26	0	31.56	-75	-1	0	0	0.00	-166311976	32767	0.00	
27	0	31.51	-76	0	0	0	0.00	-166311976	32767	0.00	
28	0	31.46	-77	1	0	0	0.00	-166311976	32767	0.00	
29	0	31.40	-78	3	0	0	0.00	-166311976	32767	0.00	
30	0	31.34	-79	4	0	0	0.00	-166311976	32767	0.00	
31	0	31.26	-80	7	0	0	0.00	-166311976	32767	0.00	
32	1	40.18	-80	9	-64	-9	24.04	-64	-9	24.04	
33	1	39.85	-80	11	-64	-9	25.56	-64	-9	25.56	
34	1	39.67	-81	12	-64	-9	26.95	-64	-9	26.95	
35	1	39.50	-81	13	-64	-9	27.73	-64	-9	27.73	
36	1	39.34	-81	14	-64	-9	28.52	-64	-9	28.52	
37	1	39.16	-82	15	-64	-9	29.91	-64	-9	29.91	
38	1	39.16	-82	15	-64	-9	29.91	-64	-9	29.91	
39	1	39.01	-82	16	-64	-9	30.70	-64	-9	30.70	
40	1	39.01	-82	16	-64	-9	30.70	-64	-9	30.70	
